window_id,trade_type,side,entry_price,entry_time,reversal_score,won,gross_pnl,fee,net_pnl
25_11_28_23_00_23_15,fullset,BOTH,89,40.6,0,True,2.2000,0.605472,1.5945
25_11_29_00_00_00_15,fullset,BOTH,96,73.1,0,True,0.8000,0.608640,0.1914
25_11_29_03_00_03_15,fullset,BOTH,97,236.5,0,True,0.6000,0.505218,0.0948
25_11_29_04_00_04_15,fullset,BOTH,98,242.5,0,True,0.4000,0.624260,-0.2243
25_11_29_09_00_09_15,directional,DOWN,94,538.0,-1,True,0.6000,0.008460,0.5915
25_11_29_11_00_11_15,fullset,BOTH,98,62.0,0,True,0.4000,0.636980,-0.2370
25_11_29_14_00_14_15,fullset,BOTH,98,407.6,0,True,0.4000,0.274460,0.1255
25_11_29_18_00_18_15,fullset,BOTH,98,287.6,0,True,0.4000,0.615780,-0.2158
25_11_29_20_00_20_15,directional,DOWN,92,188.2,-1,True,0.8000,0.014720,0.7853
25_11_29_22_00_22_15,directional,DOWN,92,465.9,-1,True,0.8000,0.014720,0.7853
25_11_30_00_00_00_15,fullset,BOTH,98,287.5,0,True,0.4000,0.551385,-0.1514
25_11_30_01_00_01_15,directional,UP,93,319.9,-1,True,0.7000,0.011392,0.6886
25_11_30_03_00_03_15,fullset,BOTH,98,150.7,0,True,0.4000,0.636185,-0.2362
25_11_30_04_00_04_15,fullset,BOTH,97,421.3,0,True,0.6000,0.517208,0.0828
25_11_30_08_00_08_15,fullset,BOTH,98,272.0,0,True,0.4000,0.633005,-0.2330
25_11_30_11_00_11_15,fullset,BOTH,97,110.9,0,True,0.6000,0.639833,-0.0398
25_11_30_19_00_19_15,fullset,BOTH,98,132.7,0,True,0.4000,0.585305,-0.1853
25_11_30_20_00_20_15,directional,UP,95,415.0,-1,True,0.5000,0.005938,0.4941
25_11_30_21_00_21_15,fullset,BOTH,96,456.5,0,True,0.8000,0.644480,0.1555
25_11_30_23_00_23_15,fullset,BOTH,98,69.2,0,True,0.4000,0.627705,-0.2277
25_12_01_00_00_00_15,fullset,BOTH,98,55.0,0,True,0.4000,0.599085,-0.1991
25_12_01_01_00_01_15,fullset,BOTH,98,15.9,0,True,0.4000,0.599085,-0.1991
25_12_01_02_00_02_15,fullset,BOTH,98,90.9,0,True,0.4000,0.585305,-0.1853
25_12_01_06_00_06_15,fullset,BOTH,98,322.9,0,True,0.4000,0.633005,-0.2330
25_12_01_09_00_09_15,fullset,BOTH,98,115.2,0,True,0.4000,0.620285,-0.2203
25_12_01_13_00_13_15,directional,UP,92,143.2,-1,True,0.8000,0.014720,0.7853
25_12_01_16_00_16_15,fullset,BOTH,98,424.3,0,True,0.4000,0.213245,0.1868
25_12_01_21_00_21_15,fullset,BOTH,98,502.8,0,True,0.4000,0.100620,0.2994
25_12_02_00_00_00_15,fullset,BOTH,98,363.5,0,True,0.4000,0.551385,-0.1514
25_12_02_06_00_06_15,fullset,BOTH,98,429.6,0,True,0.4000,0.592460,-0.1925
25_12_02_07_00_07_15,fullset,BOTH,98,126.3,0,True,0.4000,0.636980,-0.2370
25_12_02_11_00_11_15,fullset,BOTH,98,481.8,0,True,0.4000,0.560660,-0.1607
25_12_02_14_00_14_15,fullset,BOTH,98,310.3,0,True,0.4000,0.592460,-0.1925
25_12_02_15_00_15_15,fullset,BOTH,97,28.7,0,True,0.6000,0.623483,-0.0235
25_12_02_16_00_16_15,fullset,BOTH,98,129.4,0,True,0.4000,0.508985,-0.1090
25_12_02_17_00_17_15,fullset,BOTH,97,305.0,0,True,0.6000,0.280133,0.3199
25_12_02_18_00_18_15,directional,UP,92,496.0,-1,True,0.8000,0.014720,0.7853
25_12_02_19_00_19_15,fullset,BOTH,98,360.6,0,True,0.4000,0.458105,-0.0581
25_12_02_22_00_22_15,fullset,BOTH,95,48.3,0,True,1.0000,0.628663,0.3713
25_12_02_23_00_23_15,directional,DOWN,92,449.6,-1,True,0.8000,0.014720,0.7853
25_12_03_00_00_00_15,fullset,BOTH,97,38.0,0,True,0.6000,0.505218,0.0948
25_12_03_01_00_01_15,fullset,BOTH,98,402.5,0,True,0.4000,0.471620,-0.0716
25_12_03_02_00_02_15,directional,UP,92,273.3,-1,True,0.8000,0.014720,0.7853
25_12_03_03_00_03_15,fullset,BOTH,98,505.2,0,True,0.4000,0.382580,0.0174
25_12_03_12_00_12_15,fullset,BOTH,98,29.5,0,True,0.4000,0.636980,-0.2370
25_12_03_16_00_16_15,fullset,BOTH,98,129.3,0,True,0.4000,0.636185,-0.2362
25_12_03_17_00_17_15,fullset,BOTH,98,300.5,0,True,0.4000,0.471620,-0.0716
25_12_04_00_00_00_15,fullset,BOTH,98,209.2,0,True,0.4000,0.636980,-0.2370
25_12_04_04_00_04_15,fullset,BOTH,98,321.9,0,True,0.4000,0.348660,0.0513
25_12_04_07_00_07_15,fullset,BOTH,98,438.0,0,True,0.4000,0.585305,-0.1853
25_12_04_09_00_09_15,fullset,BOTH,98,124.9,0,True,0.4000,0.610745,-0.2107
25_12_04_11_00_11_15,fullset,BOTH,98,309.1,0,True,0.4000,0.620285,-0.2203
25_12_04_21_00_21_15,fullset,BOTH,98,298.5,0,True,0.4000,0.560660,-0.1607
25_12_04_23_00_23_15,fullset,BOTH,97,443.9,0,True,0.6000,0.437092,0.1629
25_12_05_05_00_05_15,fullset,BOTH,98,360.7,0,True,0.4000,0.398745,0.0013
25_12_05_06_00_06_15,fullset,BOTH,98,10.8,0,True,0.4000,0.627705,-0.2277
25_12_05_14_00_14_15,fullset,BOTH,98,75.7,0,True,0.4000,0.577620,-0.1776
25_12_05_18_00_18_15,fullset,BOTH,98,10.3,0,True,0.4000,0.615780,-0.2158
25_12_05_21_00_21_15,fullset,BOTH,98,363.9,0,True,0.4000,0.585305,-0.1853
25_12_05_22_00_22_15,fullset,BOTH,98,418.3,0,True,0.4000,0.610745,-0.2107
25_12_05_23_00_23_15,directional,DOWN,94,302.7,-1,True,0.6000,0.008460,0.5915
25_12_06_00_00_00_15,fullset,BOTH,98,208.0,0,True,0.4000,0.330905,0.0691
25_12_06_02_00_02_15,fullset,BOTH,95,500.4,0,True,1.0000,0.545287,0.4547
25_12_06_06_00_06_15,fullset,BOTH,97,435.5,0,True,0.6000,0.593507,0.0065
25_12_06_07_00_07_15,fullset,BOTH,97,425.1,0,True,0.6000,0.631657,-0.0317
25_12_06_08_00_08_15,fullset,BOTH,98,123.2,0,True,0.4000,0.633005,-0.2330
25_12_06_09_00_09_15,fullset,BOTH,98,86.1,0,True,0.4000,0.615780,-0.2158
25_12_06_10_00_10_15,directional,DOWN,92,540.0,-1,False,-9.2000,0.014720,-9.2147
25_12_06_10_00_10_15,fullset,BOTH,98,543.4,0,True,0.4000,0.234180,0.1658
25_12_06_14_00_14_15,fullset,BOTH,98,481.8,0,True,0.4000,0.634860,-0.2349
25_12_06_17_00_17_15,fullset,BOTH,95,487.2,0,True,1.0000,0.638437,0.3616
25_12_06_19_00_19_15,fullset,BOTH,98,167.7,0,True,0.4000,0.429485,-0.0295
25_12_06_21_00_21_15,fullset,BOTH,97,109.7,0,True,0.6000,0.639833,-0.0398
25_12_07_00_00_00_15,fullset,BOTH,97,298.0,0,True,0.6000,0.517208,0.0828
25_12_07_03_00_03_15,fullset,BOTH,98,500.6,0,True,0.4000,0.429485,-0.0295
25_12_07_05_00_05_15,fullset,BOTH,96,18.6,0,True,0.8000,0.635240,0.1648
25_12_07_07_00_07_15,directional,DOWN,92,256.2,-1,True,0.8000,0.014720,0.7853
25_12_07_09_00_09_15,fullset,BOTH,98,555.7,0,True,0.4000,0.348660,0.0513
25_12_07_11_00_11_15,fullset,BOTH,97,307.0,0,True,0.6000,0.607133,-0.0071
25_12_07_12_00_12_15,fullset,BOTH,98,160.9,0,True,0.4000,0.636185,-0.2362
25_12_07_13_00_13_15,fullset,BOTH,95,158.4,0,True,1.0000,0.609687,0.3903
25_12_07_15_00_15_15,directional,UP,93,435.8,-1,True,0.7000,0.011392,0.6886
25_12_07_17_00_17_15,fullset,BOTH,96,18.8,0,True,0.8000,0.547880,0.2521
25_12_07_18_00_18_15,directional,UP,94,237.8,-1,True,0.6000,0.008460,0.5915
25_12_07_20_00_20_15,fullset,BOTH,98,529.6,0,True,0.4000,0.330905,0.0691
25_12_07_21_00_21_15,directional,DOWN,94,393.1,-1,True,0.6000,0.008460,0.5915
25_12_07_23_00_23_15,fullset,BOTH,98,140.6,0,True,0.4000,0.636980,-0.2370
25_12_08_00_00_00_15,directional,DOWN,92,495.7,-1,True,0.8000,0.014720,0.7853
25_12_08_03_00_03_15,directional,DOWN,94,559.2,-1,True,0.6000,0.008460,0.5915
25_12_08_09_00_09_15,fullset,BOTH,98,14.5,0,True,0.4000,0.615780,-0.2158
25_12_08_12_00_12_15,fullset,BOTH,98,158.7,0,True,0.4000,0.471620,-0.0716
25_12_08_13_00_13_15,fullset,BOTH,98,349.8,0,True,0.4000,0.636980,-0.2370
25_12_08_16_00_16_15,fullset,BOTH,97,516.7,0,True,0.6000,0.637652,-0.0377
25_12_08_17_00_17_15,fullset,BOTH,98,351.1,0,True,0.4000,0.569405,-0.1694
25_12_08_19_00_19_15,directional,UP,95,551.4,-1,True,0.5000,0.005938,0.4941
25_12_09_00_00_00_15,fullset,BOTH,98,64.1,0,True,0.4000,0.630620,-0.2306
25_12_09_01_00_01_15,fullset,BOTH,97,122.6,0,True,0.6000,0.607133,-0.0071
25_12_09_05_00_05_15,fullset,BOTH,98,76.8,0,True,0.4000,0.630620,-0.2306
25_12_09_07_00_07_15,fullset,BOTH,98,560.2,0,True,0.4000,0.630620,-0.2306
25_12_09_08_00_08_15,fullset,BOTH,92,490.9,0,True,1.6000,0.669440,0.9306
25_12_09_09_00_09_15,fullset,BOTH,98,24.5,0,True,0.4000,0.636185,-0.2362
25_12_09_11_00_11_15,fullset,BOTH,97,369.8,0,True,0.6000,0.634928,-0.0349
25_12_09_12_00_12_15,fullset,BOTH,98,56.1,0,True,0.4000,0.630620,-0.2306
25_12_09_13_00_13_15,fullset,BOTH,98,24.5,0,True,0.4000,0.624260,-0.2243
25_12_09_14_00_14_15,fullset,BOTH,97,50.5,0,True,0.6000,0.585877,0.0141
25_12_09_16_00_16_15,fullset,BOTH,98,27.4,0,True,0.4000,0.592460,-0.1925
25_12_09_18_00_18_15,fullset,BOTH,98,189.3,0,True,0.4000,0.531245,-0.1312
25_12_10_04_00_04_15,fullset,BOTH,98,24.1,0,True,0.4000,0.634860,-0.2349
25_12_10_07_00_07_15,directional,DOWN,95,537.7,-1,True,0.5000,0.005938,0.4941
25_12_10_09_00_09_15,fullset,BOTH,98,316.8,0,True,0.4000,0.605180,-0.2052
25_12_10_10_00_10_15,fullset,BOTH,98,495.8,0,True,0.4000,0.520380,-0.1204
25_12_10_11_00_11_15,fullset,BOTH,98,16.8,0,True,0.4000,0.620285,-0.2203
25_12_10_13_00_13_15,fullset,BOTH,98,210.6,0,True,0.4000,0.599085,-0.1991
25_12_10_15_00_15_15,fullset,BOTH,97,74.0,0,True,0.6000,0.639833,-0.0398
25_12_10_17_00_17_15,fullset,BOTH,97,540.9,0,True,0.6000,0.639833,-0.0398
25_12_10_18_00_18_15,fullset,BOTH,97,305.6,0,True,0.6000,0.627842,-0.0278
25_12_10_19_00_19_15,fullset,BOTH,98,115.9,0,True,0.4000,0.585305,-0.1853
25_12_10_23_00_23_15,fullset,BOTH,98,26.2,0,True,0.4000,0.636185,-0.2362
25_12_11_08_00_08_15,fullset,BOTH,97,176.3,0,True,0.6000,0.528652,0.0713
25_12_11_09_00_09_15,fullset,BOTH,98,313.7,0,True,0.4000,0.599085,-0.1991
25_12_11_10_00_10_15,fullset,BOTH,97,218.4,0,True,0.6000,0.517208,0.0828
25_12_11_12_00_12_15,fullset,BOTH,98,16.3,0,True,0.4000,0.627705,-0.2277
25_12_11_17_00_17_15,fullset,BOTH,98,182.1,0,True,0.4000,0.627705,-0.2277
25_12_11_19_00_19_15,fullset,BOTH,98,569.7,0,True,0.4000,0.615780,-0.2158
25_12_11_20_00_20_15,fullset,BOTH,98,154.2,0,True,0.4000,0.429485,-0.0295
25_12_11_21_00_21_15,fullset,BOTH,98,16.6,0,True,0.4000,0.634860,-0.2349
25_12_12_02_00_02_15,fullset,BOTH,97,239.9,0,True,0.6000,0.421833,0.1782
25_12_12_03_00_03_15,fullset,BOTH,97,14.7,0,True,0.6000,0.639833,-0.0398
25_12_12_08_00_08_15,fullset,BOTH,95,225.9,0,True,1.0000,0.652813,0.3472
25_12_12_09_00_09_15,fullset,BOTH,98,354.4,0,True,0.4000,0.497060,-0.0971
25_12_12_10_00_10_15,fullset,BOTH,97,69.4,0,True,0.6000,0.618578,-0.0186
25_12_12_12_00_12_15,directional,DOWN,93,392.5,-1,True,0.7000,0.011392,0.6886
25_12_12_13_00_13_15,fullset,BOTH,97,321.4,0,True,0.6000,0.437092,0.1629
25_12_12_18_00_18_15,fullset,BOTH,98,505.5,0,True,0.4000,0.615780,-0.2158
25_12_13_02_00_02_15,fullset,BOTH,96,335.6,0,True,0.8000,0.525480,0.2745
25_12_13_03_00_03_15,fullset,BOTH,97,530.1,0,True,0.6000,0.593507,0.0065
25_12_13_07_00_07_15,fullset,BOTH,97,164.6,0,True,0.6000,0.600592,-0.0006
25_12_13_08_00_08_15,fullset,BOTH,98,342.8,0,True,0.4000,0.633005,-0.2330
25_12_13_09_00_09_15,fullset,BOTH,96,230.5,0,True,0.8000,0.577280,0.2227
25_12_13_18_00_18_15,directional,UP,96,517.6,-1,True,0.4000,0.003840,0.3962
25_12_13_21_00_21_15,directional,DOWN,92,365.4,-1,True,0.8000,0.014720,0.7853
25_12_13_21_00_21_15,fullset,BOTH,98,365.9,0,True,0.4000,0.191780,0.2082
25_12_13_23_00_23_15,fullset,BOTH,96,184.5,0,True,0.8000,0.585960,0.2140
25_12_14_00_00_00_15,directional,DOWN,92,215.4,-1,False,-9.2000,0.014720,-9.2147
25_12_14_01_00_01_15,fullset,BOTH,98,133.4,0,True,0.4000,0.429485,-0.0295
25_12_14_03_00_03_15,fullset,BOTH,98,362.1,0,True,0.4000,0.620285,-0.2203
25_12_14_04_00_04_15,fullset,BOTH,96,345.3,0,True,0.8000,0.344040,0.4560
25_12_14_06_00_06_15,fullset,BOTH,90,144.1,0,True,2.0000,0.607500,1.3925
25_12_14_07_00_07_15,fullset,BOTH,95,246.2,0,True,1.0000,0.648787,0.3512
25_12_14_09_00_09_15,fullset,BOTH,90,12.9,0,True,2.0000,0.648125,1.3519
25_12_14_10_00_10_15,fullset,BOTH,97,131.3,0,True,0.6000,0.613127,-0.0131
25_12_14_16_00_16_15,fullset,BOTH,96,122.9,0,True,0.8000,0.646440,0.1536
25_12_14_18_00_18_15,fullset,BOTH,98,105.4,0,True,0.4000,0.627705,-0.2277
25_12_14_19_00_19_15,fullset,BOTH,98,94.6,0,True,0.4000,0.520380,-0.1204
25_12_14_20_00_20_15,fullset,BOTH,97,476.2,0,True,0.6000,0.451807,0.1482
25_12_15_04_00_04_15,fullset,BOTH,97,37.8,0,True,0.6000,0.623483,-0.0235
25_12_15_09_00_09_15,directional,UP,93,560.1,-1,True,0.7000,0.011392,0.6886
25_12_15_10_00_10_15,fullset,BOTH,98,458.7,0,True,0.4000,0.398745,0.0013
25_12_15_11_00_11_15,fullset,BOTH,97,81.6,0,True,0.6000,0.627842,-0.0278
25_12_15_13_00_13_15,directional,DOWN,93,322.3,-1,True,0.7000,0.011392,0.6886
25_12_15_15_00_15_15,fullset,BOTH,98,497.2,0,True,0.4000,0.624260,-0.2243
25_12_15_16_00_16_15,fullset,BOTH,98,424.5,0,True,0.4000,0.624260,-0.2243
25_12_15_17_00_17_15,fullset,BOTH,98,89.4,0,True,0.4000,0.615780,-0.2158
25_12_16_02_00_02_15,fullset,BOTH,97,197.4,0,True,0.6000,0.643103,-0.0431
25_12_16_03_00_03_15,fullset,BOTH,98,109.5,0,True,0.4000,0.599085,-0.1991
25_12_16_05_00_05_15,fullset,BOTH,98,69.3,0,True,0.4000,0.630620,-0.2306
25_12_16_08_00_08_15,directional,UP,92,537.1,-1,True,0.8000,0.014720,0.7853
25_12_16_15_00_15_15,fullset,BOTH,98,125.1,0,True,0.4000,0.636185,-0.2362
25_12_16_18_00_18_15,fullset,BOTH,98,75.2,0,True,0.4000,0.634860,-0.2349
25_12_16_23_00_23_15,fullset,BOTH,98,165.0,0,True,0.4000,0.637245,-0.2372
25_12_17_00_00_00_15,directional,DOWN,93,245.0,-1,True,0.7000,0.011392,0.6886
25_12_17_02_00_02_15,directional,DOWN,94,541.4,-1,True,0.6000,0.008460,0.5915
25_12_17_06_00_06_15,directional,UP,92,557.0,-1,True,0.8000,0.014720,0.7853
25_12_17_07_00_07_15,fullset,BOTH,97,369.9,0,True,0.6000,0.528652,0.0713
25_12_17_09_00_09_15,fullset,BOTH,98,124.7,0,True,0.4000,0.560660,-0.1607
25_12_17_11_00_11_15,fullset,BOTH,96,299.3,0,True,0.8000,0.631040,0.1690
25_12_17_14_00_14_15,fullset,BOTH,98,391.8,0,True,0.4000,0.531245,-0.1312
25_12_17_15_00_15_15,fullset,BOTH,98,46.0,0,True,0.4000,0.636980,-0.2370
25_12_17_16_00_16_15,fullset,BOTH,98,377.1,0,True,0.4000,0.585305,-0.1853
25_12_17_19_00_19_15,directional,DOWN,92,467.2,-1,True,0.8000,0.014720,0.7853
25_12_17_22_00_22_15,fullset,BOTH,98,159.9,0,True,0.4000,0.615780,-0.2158
25_12_18_00_00_00_15,fullset,BOTH,96,64.7,0,True,0.8000,0.608640,0.1914
25_12_18_02_00_02_15,fullset,BOTH,98,72.1,0,True,0.4000,0.569405,-0.1694
25_12_18_03_00_03_15,fullset,BOTH,92,23.6,0,True,1.6000,0.659520,0.9405
25_12_18_05_00_05_15,fullset,BOTH,98,64.2,0,True,0.4000,0.634860,-0.2349
25_12_18_07_00_07_15,fullset,BOTH,98,15.3,0,True,0.4000,0.637245,-0.2372
25_12_18_12_00_12_15,fullset,BOTH,98,14.7,0,True,0.4000,0.585305,-0.1853
25_12_18_13_00_13_15,fullset,BOTH,98,40.8,0,True,0.4000,0.497060,-0.0971
25_12_18_15_00_15_15,fullset,BOTH,96,108.5,0,True,0.8000,0.647840,0.1522
25_12_18_18_00_18_15,fullset,BOTH,98,472.6,0,True,0.4000,0.605180,-0.2052
25_12_18_21_00_21_15,fullset,BOTH,97,10.8,0,True,0.6000,0.600592,-0.0006
25_12_19_01_00_01_15,directional,DOWN,95,544.8,-1,True,0.5000,0.005938,0.4941
25_12_19_06_00_06_15,fullset,BOTH,98,549.0,0,True,0.4000,0.577620,-0.1776
25_12_19_07_00_07_15,fullset,BOTH,97,18.1,0,True,0.6000,0.549907,0.0501
25_12_19_11_00_11_15,fullset,BOTH,90,173.9,0,True,2.0000,0.672500,1.3275
25_12_19_12_00_12_15,fullset,BOTH,96,56.3,0,True,0.8000,0.626280,0.1737
25_12_19_15_00_15_15,fullset,BOTH,97,432.7,0,True,0.6000,0.643103,-0.0431
25_12_19_20_00_20_15,fullset,BOTH,98,214.6,0,True,0.4000,0.633005,-0.2330
25_12_19_21_00_21_15,fullset,BOTH,97,65.2,0,True,0.6000,0.618578,-0.0186
25_12_19_22_00_22_15,fullset,BOTH,97,38.8,0,True,0.6000,0.593507,0.0065
25_12_20_03_00_03_15,fullset,BOTH,98,44.5,0,True,0.4000,0.620285,-0.2203
25_12_20_04_00_04_15,fullset,BOTH,98,287.2,0,True,0.4000,0.560660,-0.1607
25_12_20_05_00_05_15,fullset,BOTH,98,453.4,0,True,0.4000,0.293805,0.1062
25_12_20_06_00_06_15,fullset,BOTH,98,13.0,0,True,0.4000,0.636980,-0.2370
25_12_20_07_00_07_15,fullset,BOTH,98,383.6,0,True,0.4000,0.471620,-0.0716
25_12_20_08_00_08_15,directional,UP,92,203.4,-1,True,0.8000,0.014720,0.7853
25_12_20_09_00_09_15,fullset,BOTH,98,231.4,0,True,0.4000,0.615780,-0.2158
25_12_20_10_00_10_15,fullset,BOTH,98,464.8,0,True,0.4000,0.458105,-0.0581
25_12_20_11_00_11_15,fullset,BOTH,98,293.1,0,True,0.4000,0.592460,-0.1925
25_12_20_12_00_12_15,fullset,BOTH,98,155.5,0,True,0.4000,0.551385,-0.1514
25_12_20_13_00_13_15,directional,UP,92,162.2,-1,False,-9.2000,0.014720,-9.2147
25_12_20_14_00_14_15,directional,DOWN,92,266.9,-1,True,0.8000,0.014720,0.7853
25_12_20_16_00_16_15,fullset,BOTH,94,420.5,0,True,1.2000,0.641235,0.5588
25_12_20_17_00_17_15,fullset,BOTH,97,95.6,0,True,0.6000,0.618578,-0.0186
