window_id,type,side,entry,time,score,won,gross,fee,net
25_10_31_01_00_01_15,fullset,BOTH,94,25.6,0,True,1.2000,0.6457,0.5543
25_10_31_04_00_04_15,directional,UP,92,561.9,-1,False,-9.2000,0.0147,-9.2147
25_10_31_10_00_10_15,fullset,BOTH,94,24.2,0,True,1.2000,0.6103,0.5897
25_10_31_15_00_15_15,directional,DOWN,94,426.4,-1,True,0.6000,0.0085,0.5915
25_11_01_00_00_00_15,directional,DOWN,96,314.1,-1,True,0.4000,0.0038,0.3962
25_11_01_05_00_05_15,directional,DOWN,94,333.2,-1,True,0.6000,0.0085,0.5915
25_11_01_07_00_07_15,directional,UP,92,392.2,-1,True,0.8000,0.0147,0.7853
25_11_01_15_00_15_15,directional,UP,94,340.4,-1,True,0.6000,0.0085,0.5915
25_11_01_18_00_18_15,directional,UP,94,533.7,-1,True,0.6000,0.0085,0.5915
25_11_01_20_00_20_15,fullset,BOTH,95,423.5,0,True,1.0000,0.5666,0.4334
25_11_01_22_00_22_15,directional,UP,96,514.0,-1,True,0.4000,0.0038,0.3962
25_11_01_23_00_23_15,directional,DOWN,93,404.7,-1,True,0.7000,0.0114,0.6886
25_11_02_05_00_05_15,directional,DOWN,96,539.1,-1,True,0.4000,0.0038,0.3962
25_11_02_10_00_10_15,fullset,BOTH,93,311.6,0,True,1.4000,0.4022,0.9978
25_11_02_16_00_16_15,fullset,BOTH,95,36.1,0,True,1.0000,0.2923,0.7077
25_11_02_20_00_20_15,fullset,BOTH,95,110.0,0,True,1.0000,0.5855,0.4145
25_11_02_22_00_22_15,fullset,BOTH,92,419.9,0,True,1.6000,0.6456,0.9544
25_11_02_23_00_23_15,fullset,BOTH,94,11.5,0,True,1.2000,0.5937,0.6063
25_11_03_09_00_09_15,directional,UP,93,411.1,-1,True,0.7000,0.0114,0.6886
25_11_03_11_00_11_15,directional,UP,93,318.6,-1,True,0.7000,0.0114,0.6886
25_11_03_12_00_12_15,directional,UP,92,270.2,-1,True,0.8000,0.0147,0.7853
25_11_03_22_00_22_15,directional,DOWN,92,370.9,-1,True,0.8000,0.0147,0.7853
25_11_04_02_00_02_15,directional,DOWN,94,350.4,-1,True,0.6000,0.0085,0.5915
25_11_05_03_00_03_15,fullset,BOTH,95,295.6,0,True,1.0000,0.5091,0.4909
25_11_06_13_00_13_15,directional,UP,92,485.4,-1,True,0.8000,0.0147,0.7853
25_11_07_09_00_09_15,directional,DOWN,93,465.5,-1,True,0.7000,0.0114,0.6886
25_11_07_11_00_11_15,directional,DOWN,92,246.5,-1,True,0.8000,0.0147,0.7853
25_11_08_05_00_05_15,directional,UP,93,438.0,-1,False,-9.3000,0.0114,-9.3114
25_11_08_17_00_17_15,directional,DOWN,96,492.5,-1,True,0.4000,0.0038,0.3962
25_11_09_16_00_16_15,directional,DOWN,93,550.7,-1,True,0.7000,0.0114,0.6886
25_11_09_18_00_18_15,fullset,BOTH,94,565.4,0,True,1.2000,0.6412,0.5588
25_11_09_23_00_23_15,directional,UP,92,104.7,-1,True,0.8000,0.0147,0.7853
25_11_10_05_00_05_15,directional,UP,94,484.6,-1,True,0.6000,0.0085,0.5915
25_11_10_13_00_13_15,directional,UP,92,253.4,-1,True,0.8000,0.0147,0.7853
25_11_13_15_00_15_15,directional,DOWN,92,361.8,-1,False,-9.2000,0.0147,-9.2147
25_11_14_04_00_04_15,directional,DOWN,92,325.3,-1,True,0.8000,0.0147,0.7853
25_11_14_18_00_18_15,fullset,BOTH,94,19.0,0,True,1.2000,0.6527,0.5473
25_11_15_08_00_08_15,directional,DOWN,93,544.6,-1,True,0.7000,0.0114,0.6886
25_11_15_16_00_16_15,directional,DOWN,94,364.7,-1,True,0.6000,0.0085,0.5915
25_11_15_17_00_17_15,directional,DOWN,93,531.0,-1,True,0.7000,0.0114,0.6886
25_11_15_18_00_18_15,fullset,BOTH,94,276.5,0,True,1.2000,0.6495,0.5505
25_11_15_21_00_21_15,directional,UP,92,379.2,-1,True,0.8000,0.0147,0.7853
25_11_16_05_00_05_15,directional,UP,97,484.8,-1,True,0.3000,0.0022,0.2978
25_11_16_09_00_09_15,fullset,BOTH,95,430.3,0,True,1.0000,0.6166,0.3834
25_11_16_21_00_21_15,directional,DOWN,92,306.6,-1,True,0.8000,0.0147,0.7853
25_11_16_23_00_23_15,directional,DOWN,92,117.4,-1,True,0.8000,0.0147,0.7853
25_11_18_03_00_03_15,directional,DOWN,93,299.7,-1,True,0.7000,0.0114,0.6886
25_11_18_08_00_08_15,directional,UP,93,498.1,-1,True,0.7000,0.0114,0.6886
25_11_18_22_00_22_15,directional,UP,96,508.8,-1,True,0.4000,0.0038,0.3962
25_11_19_15_00_15_15,fullset,BOTH,95,28.4,0,True,1.0000,0.6528,0.3472
25_11_20_17_00_17_15,directional,DOWN,92,428.1,-1,True,0.8000,0.0147,0.7853
25_11_21_00_00_00_15,directional,UP,92,353.9,-1,True,0.8000,0.0147,0.7853
25_11_21_02_00_02_15,directional,DOWN,92,545.2,-1,True,0.8000,0.0147,0.7853
25_11_22_02_00_02_15,directional,DOWN,94,398.8,-1,True,0.6000,0.0085,0.5915
25_11_23_08_00_08_15,fullset,BOTH,95,107.3,0,True,1.0000,0.6022,0.3978
25_11_23_10_00_10_15,directional,DOWN,93,550.1,-1,True,0.7000,0.0114,0.6886
25_11_23_14_00_14_15,fullset,BOTH,95,567.4,0,True,1.0000,0.5091,0.4909
25_11_24_08_00_08_15,directional,DOWN,92,542.3,-1,True,0.8000,0.0147,0.7853
25_11_24_09_00_09_15,directional,DOWN,94,505.0,-1,True,0.6000,0.0085,0.5915
25_11_24_11_00_11_15,directional,DOWN,93,509.4,-1,False,-9.3000,0.0114,-9.3114
25_11_24_12_00_12_15,directional,DOWN,94,539.5,-1,True,0.6000,0.0085,0.5915
25_11_24_13_00_13_15,directional,UP,92,424.1,-1,True,0.8000,0.0147,0.7853
25_11_24_15_00_15_15,directional,UP,92,433.4,-1,True,0.8000,0.0147,0.7853
25_11_25_02_00_02_15,fullset,BOTH,92,102.0,0,True,1.6000,0.6694,0.9306
25_11_25_16_00_16_15,directional,DOWN,92,564.7,-1,True,0.8000,0.0147,0.7853
25_11_26_08_00_08_15,directional,DOWN,95,481.0,-1,True,0.5000,0.0059,0.4941
25_11_26_16_00_16_15,directional,UP,94,313.5,-1,True,0.6000,0.0085,0.5915
25_11_26_19_00_19_15,directional,DOWN,95,495.0,-1,True,0.5000,0.0059,0.4941
25_11_27_01_00_01_15,directional,UP,92,301.5,-1,True,0.8000,0.0147,0.7853
25_11_27_03_00_03_15,directional,UP,92,529.6,-1,False,-9.2000,0.0147,-9.2147
25_11_27_06_00_06_15,directional,UP,93,544.7,-1,True,0.7000,0.0114,0.6886
25_11_28_01_00_01_15,directional,DOWN,92,536.0,-1,True,0.8000,0.0147,0.7853
25_11_28_06_00_06_15,directional,DOWN,95,515.8,-1,True,0.5000,0.0059,0.4941
25_11_28_14_00_14_15,fullset,BOTH,78,46.6,0,True,4.4000,0.7252,3.6748
25_11_28_23_00_23_15,fullset,BOTH,89,40.6,0,True,2.2000,0.6055,1.5945
25_11_29_09_00_09_15,directional,DOWN,94,538.0,-1,True,0.6000,0.0085,0.5915
25_11_29_20_00_20_15,directional,DOWN,92,188.2,-1,True,0.8000,0.0147,0.7853
25_11_29_22_00_22_15,directional,DOWN,92,465.9,-1,True,0.8000,0.0147,0.7853
25_11_30_01_00_01_15,directional,UP,93,319.9,-1,True,0.7000,0.0114,0.6886
25_11_30_03_00_03_15,directional,DOWN,93,521.1,-1,True,0.7000,0.0114,0.6886
25_11_30_19_00_19_15,fullset,BOTH,95,336.1,0,True,1.0000,0.5855,0.4145
25_11_30_20_00_20_15,directional,UP,95,415.0,-1,True,0.5000,0.0059,0.4941
25_12_01_00_00_00_15,directional,DOWN,92,248.9,-1,True,0.8000,0.0147,0.7853
25_12_01_13_00_13_15,directional,UP,92,143.2,-1,True,0.8000,0.0147,0.7853
25_12_02_17_00_17_15,directional,UP,92,305.6,-1,True,0.8000,0.0147,0.7853
25_12_02_18_00_18_15,directional,UP,92,496.0,-1,True,0.8000,0.0147,0.7853
25_12_02_22_00_22_15,fullset,BOTH,95,48.3,0,True,1.0000,0.6287,0.3713
25_12_02_23_00_23_15,directional,DOWN,92,449.6,-1,True,0.8000,0.0147,0.7853
25_12_03_02_00_02_15,directional,UP,92,273.3,-1,True,0.8000,0.0147,0.7853
25_12_04_09_00_09_15,directional,UP,92,368.1,-1,True,0.8000,0.0147,0.7853
25_12_05_06_00_06_15,directional,UP,94,542.9,-1,True,0.6000,0.0085,0.5915
25_12_05_23_00_23_15,directional,DOWN,94,302.7,-1,True,0.6000,0.0085,0.5915
25_12_06_02_00_02_15,fullset,BOTH,95,500.4,0,True,1.0000,0.5453,0.4547
25_12_06_10_00_10_15,directional,DOWN,92,540.0,-1,False,-9.2000,0.0147,-9.2147
25_12_06_17_00_17_15,fullset,BOTH,95,487.2,0,True,1.0000,0.6384,0.3616
25_12_06_19_00_19_15,directional,DOWN,92,466.5,-1,True,0.8000,0.0147,0.7853
25_12_07_00_00_00_15,directional,UP,92,556.6,-1,False,-9.2000,0.0147,-9.2147
25_12_07_05_00_05_15,directional,DOWN,92,494.3,-1,True,0.8000,0.0147,0.7853
25_12_07_07_00_07_15,directional,DOWN,92,256.2,-1,True,0.8000,0.0147,0.7853
25_12_07_12_00_12_15,directional,UP,93,543.7,-1,True,0.7000,0.0114,0.6886
25_12_07_13_00_13_15,fullset,BOTH,95,158.4,0,True,1.0000,0.6097,0.3903
25_12_07_15_00_15_15,directional,UP,93,435.8,-1,True,0.7000,0.0114,0.6886
25_12_07_17_00_17_15,directional,DOWN,92,412.7,-1,False,-9.2000,0.0147,-9.2147
25_12_07_18_00_18_15,directional,UP,94,237.8,-1,True,0.6000,0.0085,0.5915
25_12_07_21_00_21_15,directional,DOWN,94,393.1,-1,True,0.6000,0.0085,0.5915
25_12_08_00_00_00_15,directional,DOWN,92,495.7,-1,True,0.8000,0.0147,0.7853
25_12_08_03_00_03_15,directional,DOWN,94,559.2,-1,True,0.6000,0.0085,0.5915
25_12_08_09_00_09_15,directional,UP,99,386.6,-1,True,0.1000,0.0002,0.0998
25_12_08_12_00_12_15,directional,DOWN,92,529.2,-1,True,0.8000,0.0147,0.7853
25_12_08_19_00_19_15,directional,UP,95,551.4,-1,True,0.5000,0.0059,0.4941
25_12_09_08_00_08_15,fullset,BOTH,92,490.9,0,True,1.6000,0.6694,0.9306
25_12_10_07_00_07_15,directional,DOWN,95,537.7,-1,True,0.5000,0.0059,0.4941
25_12_11_08_00_08_15,directional,DOWN,94,565.4,-1,True,0.6000,0.0085,0.5915
25_12_11_21_00_21_15,directional,UP,95,488.3,-1,True,0.5000,0.0059,0.4941
25_12_12_08_00_08_15,fullset,BOTH,95,225.9,0,True,1.0000,0.6528,0.3472
25_12_12_12_00_12_15,directional,DOWN,93,392.5,-1,True,0.7000,0.0114,0.6886
25_12_12_13_00_13_15,directional,DOWN,92,470.5,-1,True,0.8000,0.0147,0.7853
25_12_13_07_00_07_15,fullset,BOTH,94,364.9,0,True,1.2000,0.6244,0.5756
25_12_13_18_00_18_15,directional,UP,96,517.6,-1,True,0.4000,0.0038,0.3962
25_12_13_21_00_21_15,directional,DOWN,92,365.4,-1,True,0.8000,0.0147,0.7853
25_12_14_00_00_00_15,directional,DOWN,92,215.4,-1,False,-9.2000,0.0147,-9.2147
25_12_14_06_00_06_15,fullset,BOTH,90,144.1,0,True,2.0000,0.6075,1.3925
25_12_14_07_00_07_15,fullset,BOTH,95,246.2,0,True,1.0000,0.6488,0.3512
25_12_14_09_00_09_15,fullset,BOTH,90,12.9,0,True,2.0000,0.6481,1.3519
25_12_15_09_00_09_15,directional,UP,93,560.1,-1,True,0.7000,0.0114,0.6886
25_12_15_13_00_13_15,directional,DOWN,93,322.3,-1,True,0.7000,0.0114,0.6886
25_12_16_08_00_08_15,directional,UP,92,537.1,-1,True,0.8000,0.0147,0.7853
25_12_17_00_00_00_15,directional,DOWN,93,245.0,-1,True,0.7000,0.0114,0.6886
25_12_17_02_00_02_15,directional,DOWN,94,541.4,-1,True,0.6000,0.0085,0.5915
25_12_17_06_00_06_15,directional,UP,92,557.0,-1,True,0.8000,0.0147,0.7853
25_12_17_19_00_19_15,directional,DOWN,92,467.2,-1,True,0.8000,0.0147,0.7853
25_12_17_22_00_22_15,fullset,BOTH,93,400.7,0,True,1.4000,0.5928,0.8072
25_12_18_03_00_03_15,fullset,BOTH,92,23.6,0,True,1.6000,0.6595,0.9405
25_12_19_01_00_01_15,directional,DOWN,95,544.8,-1,True,0.5000,0.0059,0.4941
25_12_19_11_00_11_15,fullset,BOTH,90,173.9,0,True,2.0000,0.6725,1.3275
25_12_19_22_00_22_15,directional,UP,93,189.3,-1,True,0.7000,0.0114,0.6886
25_12_20_04_00_04_15,directional,DOWN,92,534.3,-1,True,0.8000,0.0147,0.7853
25_12_20_07_00_07_15,directional,DOWN,92,542.9,-1,True,0.8000,0.0147,0.7853
25_12_20_08_00_08_15,directional,UP,92,203.4,-1,True,0.8000,0.0147,0.7853
25_12_20_10_00_10_15,fullset,BOTH,89,505.7,0,True,2.2000,0.5456,1.6544
25_12_20_11_00_11_15,fullset,BOTH,94,368.1,0,True,1.2000,0.5937,0.6063
25_12_20_13_00_13_15,directional,UP,92,162.2,-1,False,-9.2000,0.0147,-9.2147
25_12_20_14_00_14_15,directional,DOWN,92,266.9,-1,True,0.8000,0.0147,0.7853
25_12_20_16_00_16_15,fullset,BOTH,94,420.5,0,True,1.2000,0.6412,0.5588
25_12_20_17_00_17_15,directional,UP,94,366.4,-1,True,0.6000,0.0085,0.5915
