window_id,strategy,up_price,down_price,combined_cost,edge,pnl
25_10_31_01_00_01_15,FULLSET,40,54,94,6,0.6
25_10_31_02_00_02_15,FULLSET,55,44,99,1,0.1
25_10_31_03_00_03_15,FULLSET,40,59,99,1,0.1
25_10_31_05_00_05_15,FULLSET,20,78,98,2,0.2
25_10_31_06_00_06_15,FULLSET,61,38,99,1,0.1
25_10_31_07_00_07_15,FULLSET,31,68,99,1,0.1
25_10_31_08_00_08_15,FULLSET,22,66,88,12,1.2
25_10_31_09_00_09_15,FULLSET,54,44,98,2,0.2
25_10_31_10_00_10_15,FULLSET,60,34,94,6,0.6
25_10_31_12_00_12_15,FULLSET,50,48,98,2,0.2
25_10_31_13_00_13_15,FULLSET,65,34,99,1,0.1
25_10_31_14_00_14_15,FULLSET,31,68,99,1,0.1
25_10_31_15_00_15_15,FULLSET,26,71,97,3,0.3
25_10_31_16_00_16_15,FULLSET,42,57,99,1,0.1
25_10_31_17_00_17_15,FULLSET,90,9,99,1,0.1
25_10_31_18_00_18_15,FULLSET,61,37,98,2,0.2
25_10_31_20_00_20_15,FULLSET,30,68,98,2,0.2
25_10_31_21_00_21_15,FULLSET,81,14,95,5,0.5
25_10_31_22_00_22_15,FULLSET,72,27,99,1,0.1
25_10_31_23_00_23_15,FULLSET,36,63,99,1,0.1
25_11_01_01_00_01_15,FULLSET,54,45,99,1,0.1
25_11_01_02_00_02_15,FULLSET,18,81,99,1,0.1
25_11_01_03_00_03_15,FULLSET,49,50,99,1,0.1
25_11_01_04_00_04_15,FULLSET,92,6,98,2,0.2
25_11_01_05_00_05_15,FULLSET,51,48,99,1,0.1
25_11_01_06_00_06_15,FULLSET,50,47,97,3,0.3
25_11_01_07_00_07_15,FULLSET,64,33,97,3,0.3
25_11_01_09_00_09_15,FULLSET,7,89,96,4,0.4
25_11_01_11_00_11_15,FULLSET,58,41,99,1,0.1
25_11_01_12_00_12_15,FULLSET,54,45,99,1,0.1
25_11_01_13_00_13_15,FULLSET,54,45,99,1,0.1
25_11_01_16_00_16_15,FULLSET,59,39,98,2,0.2
25_11_01_17_00_17_15,FULLSET,47,52,99,1,0.1
25_11_01_20_00_20_15,FULLSET,50,46,96,4,0.4
25_11_01_22_00_22_15,FULLSET,60,39,99,1,0.1
25_11_01_23_00_23_15,FULLSET,19,78,97,3,0.3
25_11_02_00_00_00_15,FULLSET,41,58,99,1,0.1
25_11_02_01_00_01_15,FULLSET,34,65,99,1,0.1
25_11_02_02_00_02_15,FULLSET,26,70,96,4,0.4
25_11_02_03_00_03_15,FULLSET,43,56,99,1,0.1
25_11_02_04_00_04_15,FULLSET,33,65,98,2,0.2
25_11_02_05_00_05_15,FULLSET,46,53,99,1,0.1
25_11_02_09_00_09_15,FULLSET,76,23,99,1,0.1
25_11_02_10_00_10_15,FULLSET,17,76,93,7,0.7000000000000001
25_11_02_12_00_12_15,FULLSET,57,42,99,1,0.1
25_11_02_14_00_14_15,FULLSET,49,50,99,1,0.1
25_11_02_15_00_15_15,FULLSET,32,65,97,3,0.3
25_11_02_16_00_16_15,FULLSET,49,50,99,1,0.1
25_11_02_17_00_17_15,FULLSET,78,21,99,1,0.1
25_11_02_18_00_18_15,FULLSET,60,39,99,1,0.1
25_11_02_19_00_19_15,FULLSET,37,62,99,1,0.1
25_11_02_20_00_20_15,FULLSET,32,63,95,5,0.5
25_11_02_21_00_21_15,FULLSET,50,49,99,1,0.1
25_11_02_22_00_22_15,FULLSET,55,37,92,8,0.8
25_11_02_23_00_23_15,FULLSET,62,32,94,6,0.6
25_11_03_03_00_03_15,FULLSET,61,38,99,1,0.1
25_11_03_04_00_04_15,FULLSET,47,52,99,1,0.1
25_11_03_05_00_05_15,FULLSET,67,32,99,1,0.1
25_11_03_06_00_06_15,FULLSET,56,40,96,4,0.4
25_11_03_07_00_07_15,FULLSET,39,60,99,1,0.1
25_11_03_08_00_08_15,FULLSET,94,5,99,1,0.1
25_11_03_09_00_09_15,FULLSET,71,27,98,2,0.2
25_11_03_10_00_10_15,FULLSET,60,39,99,1,0.1
25_11_03_12_00_12_15,FULLSET,51,48,99,1,0.1
25_11_03_13_00_13_15,FULLSET,38,61,99,1,0.1
25_11_03_16_00_16_15,FULLSET,43,56,99,1,0.1
25_11_03_17_00_17_15,FULLSET,75,23,98,2,0.2
25_11_03_18_00_18_15,FULLSET,58,41,99,1,0.1
25_11_03_19_00_19_15,FULLSET,48,51,99,1,0.1
25_11_03_21_00_21_15,FULLSET,83,16,99,1,0.1
25_11_04_01_00_01_15,FULLSET,47,52,99,1,0.1
25_11_04_02_00_02_15,FULLSET,37,62,99,1,0.1
25_11_04_03_00_03_15,FULLSET,56,43,99,1,0.1
25_11_04_04_00_04_15,FULLSET,79,19,98,2,0.2
25_11_04_05_00_05_15,FULLSET,33,66,99,1,0.1
25_11_04_06_00_06_15,FULLSET,63,36,99,1,0.1
25_11_04_07_00_07_15,FULLSET,24,75,99,1,0.1
25_11_04_08_00_08_15,FULLSET,13,86,99,1,0.1
25_11_04_09_00_09_15,FULLSET,48,51,99,1,0.1
25_11_04_10_00_10_15,FULLSET,34,65,99,1,0.1
25_11_04_11_00_11_15,FULLSET,58,41,99,1,0.1
25_11_04_12_00_12_15,FULLSET,48,51,99,1,0.1
25_11_04_13_00_13_15,FULLSET,60,39,99,1,0.1
25_11_04_14_00_14_15,FULLSET,47,52,99,1,0.1
25_11_04_16_00_16_15,FULLSET,60,39,99,1,0.1
25_11_04_17_00_17_15,FULLSET,32,67,99,1,0.1
25_11_04_18_00_18_15,FULLSET,40,58,98,2,0.2
25_11_04_19_00_19_15,FULLSET,42,50,92,8,0.8
25_11_04_20_00_20_15,FULLSET,35,64,99,1,0.1
25_11_04_21_00_21_15,FULLSET,37,62,99,1,0.1
25_11_04_22_00_22_15,FULLSET,71,28,99,1,0.1
25_11_04_23_00_23_15,FULLSET,65,34,99,1,0.1
25_11_05_03_00_03_15,FULLSET,39,59,98,2,0.2
25_11_05_04_00_04_15,FULLSET,31,68,99,1,0.1
25_11_05_10_00_10_15,FULLSET,17,82,99,1,0.1
25_11_05_11_00_11_15,FULLSET,62,37,99,1,0.1
25_11_05_14_00_14_15,FULLSET,46,53,99,1,0.1
25_11_05_15_00_15_15,FULLSET,66,33,99,1,0.1
25_11_05_16_00_16_15,FULLSET,26,73,99,1,0.1
25_11_05_18_00_18_15,FULLSET,31,68,99,1,0.1
25_11_05_19_00_19_15,FULLSET,44,55,99,1,0.1
25_11_05_22_00_22_15,FULLSET,21,76,97,3,0.3
25_11_05_23_00_23_15,FULLSET,75,24,99,1,0.1
25_11_06_00_00_00_15,FULLSET,9,90,99,1,0.1
25_11_06_02_00_02_15,FULLSET,32,67,99,1,0.1
25_11_06_03_00_03_15,FULLSET,75,24,99,1,0.1
25_11_06_04_00_04_15,FULLSET,55,44,99,1,0.1
25_11_06_05_00_05_15,FULLSET,9,90,99,1,0.1
25_11_06_06_00_06_15,FULLSET,22,76,98,2,0.2
25_11_06_07_00_07_15,FULLSET,29,69,98,2,0.2
25_11_06_08_00_08_15,FULLSET,36,62,98,2,0.2
25_11_06_09_00_09_15,FULLSET,50,49,99,1,0.1
25_11_06_10_00_10_15,FULLSET,13,83,96,4,0.4
25_11_06_12_00_12_15,FULLSET,52,46,98,2,0.2
25_11_06_15_00_15_15,FULLSET,35,64,99,1,0.1
25_11_06_16_00_16_15,FULLSET,50,49,99,1,0.1
25_11_06_18_00_18_15,FULLSET,39,60,99,1,0.1
25_11_06_19_00_19_15,FULLSET,53,46,99,1,0.1
25_11_06_20_00_20_15,FULLSET,70,28,98,2,0.2
25_11_06_22_00_22_15,FULLSET,30,64,94,6,0.6
25_11_06_23_00_23_15,FULLSET,22,77,99,1,0.1
25_11_07_00_00_00_15,FULLSET,89,10,99,1,0.1
25_11_07_02_00_02_15,FULLSET,47,50,97,3,0.3
25_11_07_03_00_03_15,FULLSET,88,10,98,2,0.2
25_11_07_06_00_06_15,FULLSET,41,58,99,1,0.1
25_11_07_07_00_07_15,FULLSET,67,32,99,1,0.1
25_11_07_08_00_08_15,FULLSET,54,45,99,1,0.1
25_11_07_09_00_09_15,FULLSET,27,72,99,1,0.1
25_11_07_10_00_10_15,FULLSET,48,51,99,1,0.1
25_11_07_13_00_13_15,FULLSET,34,65,99,1,0.1
25_11_07_14_00_14_15,FULLSET,55,41,96,4,0.4
25_11_07_15_00_15_15,FULLSET,76,21,97,3,0.3
25_11_07_17_00_17_15,FULLSET,45,54,99,1,0.1
25_11_07_18_00_18_15,FULLSET,70,28,98,2,0.2
25_11_07_19_00_19_15,FULLSET,44,55,99,1,0.1
25_11_07_20_00_20_15,FULLSET,40,59,99,1,0.1
25_11_07_21_00_21_15,FULLSET,23,76,99,1,0.1
25_11_07_22_00_22_15,FULLSET,39,60,99,1,0.1
25_11_07_23_00_23_15,FULLSET,50,48,98,2,0.2
25_11_08_00_00_00_15,FULLSET,56,43,99,1,0.1
25_11_08_02_00_02_15,FULLSET,42,57,99,1,0.1
25_11_08_03_00_03_15,FULLSET,64,35,99,1,0.1
25_11_08_04_00_04_15,FULLSET,73,26,99,1,0.1
25_11_08_06_00_06_15,FULLSET,25,72,97,3,0.3
25_11_08_07_00_07_15,FULLSET,33,66,99,1,0.1
25_11_08_08_00_08_15,FULLSET,89,10,99,1,0.1
25_11_08_09_00_09_15,FULLSET,22,75,97,3,0.3
25_11_08_10_00_10_15,FULLSET,23,76,99,1,0.1
25_11_08_11_00_11_15,FULLSET,84,15,99,1,0.1
25_11_08_12_00_12_15,FULLSET,53,46,99,1,0.1
25_11_08_14_00_14_15,FULLSET,63,36,99,1,0.1
25_11_08_15_00_15_15,FULLSET,50,47,97,3,0.3
25_11_08_16_00_16_15,FULLSET,57,42,99,1,0.1
25_11_08_17_00_17_15,FULLSET,53,46,99,1,0.1
25_11_08_18_00_18_15,FULLSET,44,55,99,1,0.1
25_11_08_19_00_19_15,FULLSET,42,56,98,2,0.2
25_11_08_20_00_20_15,FULLSET,48,51,99,1,0.1
25_11_08_22_00_22_15,FULLSET,26,73,99,1,0.1
25_11_08_23_00_23_15,FULLSET,40,59,99,1,0.1
25_11_09_00_00_00_15,FULLSET,13,86,99,1,0.1
25_11_09_01_00_01_15,FULLSET,65,29,94,6,0.6
25_11_09_03_00_03_15,FULLSET,65,34,99,1,0.1
25_11_09_04_00_04_15,FULLSET,46,51,97,3,0.3
25_11_09_05_00_05_15,FULLSET,62,37,99,1,0.1
25_11_09_06_00_06_15,FULLSET,27,72,99,1,0.1
25_11_09_07_00_07_15,FULLSET,54,45,99,1,0.1
25_11_09_08_00_08_15,FULLSET,43,56,99,1,0.1
25_11_09_11_00_11_15,FULLSET,87,12,99,1,0.1
25_11_09_12_00_12_15,FULLSET,28,71,99,1,0.1
25_11_09_13_00_13_15,FULLSET,70,29,99,1,0.1
25_11_09_14_00_14_15,FULLSET,42,57,99,1,0.1
25_11_09_16_00_16_15,FULLSET,27,71,98,2,0.2
25_11_09_17_00_17_15,FULLSET,66,33,99,1,0.1
25_11_09_18_00_18_15,FULLSET,56,42,98,2,0.2
25_11_09_19_00_19_15,FULLSET,39,60,99,1,0.1
25_11_09_20_00_20_15,FULLSET,70,29,99,1,0.1
25_11_09_21_00_21_15,FULLSET,45,54,99,1,0.1
25_11_10_00_00_00_15,FULLSET,35,63,98,2,0.2
25_11_10_01_00_01_15,FULLSET,56,43,99,1,0.1
25_11_10_02_00_02_15,FULLSET,47,52,99,1,0.1
25_11_10_03_00_03_15,FULLSET,71,27,98,2,0.2
25_11_10_04_00_04_15,FULLSET,59,40,99,1,0.1
25_11_10_06_00_06_15,FULLSET,51,48,99,1,0.1
25_11_10_07_00_07_15,FULLSET,75,24,99,1,0.1
25_11_10_09_00_09_15,FULLSET,65,34,99,1,0.1
25_11_10_10_00_10_15,FULLSET,18,81,99,1,0.1
25_11_10_11_00_11_15,FULLSET,51,48,99,1,0.1
25_11_10_13_00_13_15,FULLSET,86,13,99,1,0.1
25_11_10_14_00_14_15,FULLSET,20,79,99,1,0.1
25_11_10_15_00_15_15,FULLSET,50,49,99,1,0.1
25_11_10_16_00_16_15,FULLSET,40,59,99,1,0.1
25_11_10_17_00_17_15,FULLSET,52,47,99,1,0.1
25_11_10_18_00_18_15,FULLSET,55,44,99,1,0.1
25_11_10_19_00_19_15,FULLSET,54,45,99,1,0.1
25_11_10_20_00_20_15,FULLSET,72,27,99,1,0.1
25_11_10_21_00_21_15,FULLSET,32,67,99,1,0.1
25_11_10_22_00_22_15,FULLSET,52,47,99,1,0.1
25_11_10_23_00_23_15,FULLSET,42,57,99,1,0.1
25_11_11_00_00_00_15,FULLSET,7,92,99,1,0.1
25_11_11_01_00_01_15,FULLSET,62,37,99,1,0.1
25_11_11_02_00_02_15,FULLSET,36,63,99,1,0.1
25_11_11_06_00_06_15,FULLSET,47,52,99,1,0.1
25_11_11_07_00_07_15,FULLSET,42,57,99,1,0.1
25_11_11_08_00_08_15,FULLSET,80,19,99,1,0.1
25_11_11_09_00_09_15,FULLSET,52,47,99,1,0.1
25_11_11_11_00_11_15,FULLSET,80,18,98,2,0.2
25_11_11_12_00_12_15,FULLSET,41,56,97,3,0.3
25_11_11_13_00_13_15,FULLSET,72,27,99,1,0.1
25_11_11_16_00_16_15,FULLSET,48,51,99,1,0.1
25_11_11_17_00_17_15,FULLSET,83,16,99,1,0.1
25_11_11_18_00_18_15,FULLSET,63,36,99,1,0.1
25_11_11_19_00_19_15,FULLSET,13,84,97,3,0.3
25_11_11_20_00_20_15,FULLSET,45,54,99,1,0.1
25_11_11_21_00_21_15,FULLSET,49,50,99,1,0.1
25_11_11_22_00_22_15,FULLSET,42,57,99,1,0.1
25_11_11_23_00_23_15,FULLSET,22,77,99,1,0.1
25_11_12_00_00_00_15,FULLSET,85,13,98,2,0.2
25_11_12_02_00_02_15,FULLSET,48,51,99,1,0.1
25_11_12_03_00_03_15,FULLSET,48,51,99,1,0.1
25_11_12_04_00_04_15,FULLSET,21,77,98,2,0.2
25_11_12_05_00_05_15,FULLSET,53,45,98,2,0.2
25_11_12_06_00_06_15,FULLSET,66,33,99,1,0.1
25_11_12_08_00_08_15,FULLSET,53,45,98,2,0.2
25_11_12_09_00_09_15,FULLSET,58,41,99,1,0.1
25_11_12_11_00_11_15,FULLSET,85,14,99,1,0.1
25_11_12_12_00_12_15,FULLSET,26,73,99,1,0.1
25_11_12_13_00_13_15,FULLSET,52,47,99,1,0.1
25_11_12_15_00_15_15,FULLSET,45,54,99,1,0.1
25_11_12_16_00_16_15,FULLSET,53,46,99,1,0.1
25_11_12_17_00_17_15,FULLSET,52,47,99,1,0.1
25_11_12_18_00_18_15,FULLSET,52,47,99,1,0.1
25_11_12_20_00_20_15,FULLSET,25,74,99,1,0.1
25_11_13_00_00_00_15,FULLSET,66,33,99,1,0.1
25_11_13_01_00_01_15,FULLSET,58,41,99,1,0.1
25_11_13_04_00_04_15,FULLSET,23,75,98,2,0.2
25_11_13_05_00_05_15,FULLSET,30,69,99,1,0.1
25_11_13_06_00_06_15,FULLSET,70,29,99,1,0.1
25_11_13_07_00_07_15,FULLSET,52,47,99,1,0.1
25_11_13_08_00_08_15,FULLSET,41,58,99,1,0.1
25_11_13_11_00_11_15,FULLSET,70,29,99,1,0.1
25_11_13_12_00_12_15,FULLSET,65,34,99,1,0.1
25_11_13_13_00_13_15,FULLSET,51,48,99,1,0.1
25_11_13_14_00_14_15,FULLSET,44,55,99,1,0.1
25_11_13_17_00_17_15,FULLSET,53,46,99,1,0.1
25_11_13_18_00_18_15,FULLSET,48,51,99,1,0.1
25_11_13_19_00_19_15,FULLSET,30,69,99,1,0.1
25_11_13_20_00_20_15,FULLSET,27,72,99,1,0.1
25_11_13_23_00_23_15,FULLSET,36,63,99,1,0.1
25_11_14_00_00_00_15,FULLSET,28,71,99,1,0.1
25_11_14_01_00_01_15,FULLSET,9,90,99,1,0.1
25_11_14_05_00_05_15,FULLSET,62,37,99,1,0.1
25_11_14_06_00_06_15,FULLSET,44,55,99,1,0.1
25_11_14_09_00_09_15,FULLSET,56,43,99,1,0.1
25_11_14_10_00_10_15,FULLSET,64,35,99,1,0.1
25_11_14_11_00_11_15,FULLSET,53,46,99,1,0.1
25_11_14_12_00_12_15,FULLSET,45,54,99,1,0.1
25_11_14_13_00_13_15,FULLSET,38,60,98,2,0.2
25_11_14_14_00_14_15,FULLSET,73,26,99,1,0.1
25_11_14_15_00_15_15,FULLSET,32,67,99,1,0.1
25_11_14_16_00_16_15,FULLSET,21,78,99,1,0.1
25_11_14_17_00_17_15,FULLSET,51,48,99,1,0.1
25_11_14_18_00_18_15,FULLSET,42,52,94,6,0.6
25_11_14_19_00_19_15,FULLSET,22,77,99,1,0.1
25_11_14_20_00_20_15,FULLSET,52,46,98,2,0.2
25_11_14_22_00_22_15,FULLSET,72,27,99,1,0.1
25_11_15_00_00_00_15,FULLSET,59,40,99,1,0.1
25_11_15_05_00_05_15,FULLSET,64,35,99,1,0.1
25_11_15_06_00_06_15,FULLSET,43,56,99,1,0.1
25_11_15_07_00_07_15,FULLSET,75,24,99,1,0.1
25_11_15_08_00_08_15,FULLSET,20,79,99,1,0.1
25_11_15_09_00_09_15,FULLSET,23,76,99,1,0.1
25_11_15_10_00_10_15,FULLSET,30,68,98,2,0.2
25_11_15_12_00_12_15,FULLSET,44,55,99,1,0.1
25_11_15_13_00_13_15,FULLSET,86,13,99,1,0.1
25_11_15_14_00_14_15,FULLSET,48,51,99,1,0.1
25_11_15_15_00_15_15,FULLSET,55,43,98,2,0.2
25_11_15_16_00_16_15,FULLSET,23,76,99,1,0.1
25_11_15_17_00_17_15,FULLSET,56,43,99,1,0.1
25_11_15_18_00_18_15,FULLSET,36,62,98,2,0.2
25_11_15_20_00_20_15,FULLSET,8,90,98,2,0.2
25_11_15_22_00_22_15,FULLSET,50,49,99,1,0.1
25_11_15_23_00_23_15,FULLSET,49,50,99,1,0.1
25_11_16_01_00_01_15,FULLSET,49,49,98,2,0.2
25_11_16_03_00_03_15,FULLSET,43,56,99,1,0.1
25_11_16_04_00_04_15,FULLSET,54,44,98,2,0.2
25_11_16_05_00_05_15,FULLSET,59,39,98,2,0.2
25_11_16_08_00_08_15,FULLSET,67,31,98,2,0.2
25_11_16_09_00_09_15,FULLSET,36,59,95,5,0.5
25_11_16_10_00_10_15,FULLSET,20,79,99,1,0.1
25_11_16_11_00_11_15,FULLSET,47,52,99,1,0.1
25_11_16_12_00_12_15,FULLSET,68,31,99,1,0.1
25_11_16_13_00_13_15,FULLSET,56,43,99,1,0.1
25_11_16_14_00_14_15,FULLSET,65,34,99,1,0.1
25_11_16_16_00_16_15,FULLSET,53,45,98,2,0.2
25_11_16_18_00_18_15,FULLSET,46,53,99,1,0.1
25_11_16_19_00_19_15,FULLSET,52,47,99,1,0.1
25_11_16_21_00_21_15,FULLSET,12,87,99,1,0.1
25_11_16_23_00_23_15,FULLSET,5,94,99,1,0.1
25_11_17_02_00_02_15,FULLSET,55,44,99,1,0.1
25_11_17_03_00_03_15,FULLSET,58,41,99,1,0.1
25_11_17_04_00_04_15,FULLSET,55,44,99,1,0.1
25_11_17_05_00_05_15,FULLSET,42,56,98,2,0.2
25_11_17_06_00_06_15,FULLSET,75,23,98,2,0.2
25_11_17_07_00_07_15,FULLSET,86,12,98,2,0.2
25_11_17_08_00_08_15,FULLSET,56,42,98,2,0.2
25_11_17_10_00_10_15,FULLSET,43,56,99,1,0.1
25_11_17_11_00_11_15,FULLSET,37,62,99,1,0.1
25_11_17_12_00_12_15,FULLSET,20,77,97,3,0.3
25_11_17_14_00_14_15,FULLSET,81,18,99,1,0.1
25_11_17_15_00_15_15,FULLSET,45,54,99,1,0.1
25_11_17_16_00_16_15,FULLSET,22,77,99,1,0.1
25_11_17_17_00_17_15,FULLSET,15,83,98,2,0.2
25_11_17_18_00_18_15,FULLSET,52,47,99,1,0.1
25_11_17_19_00_19_15,FULLSET,36,63,99,1,0.1
25_11_17_20_00_20_15,FULLSET,40,59,99,1,0.1
25_11_17_21_00_21_15,FULLSET,59,40,99,1,0.1
25_11_17_22_00_22_15,FULLSET,35,64,99,1,0.1
25_11_17_23_00_23_15,FULLSET,43,55,98,2,0.2
25_11_18_00_00_00_15,FULLSET,49,50,99,1,0.1
25_11_18_01_00_01_15,FULLSET,48,51,99,1,0.1
25_11_18_03_00_03_15,FULLSET,37,62,99,1,0.1
25_11_18_04_00_04_15,FULLSET,11,88,99,1,0.1
25_11_18_05_00_05_15,FULLSET,31,68,99,1,0.1
25_11_18_07_00_07_15,FULLSET,58,41,99,1,0.1
25_11_18_08_00_08_15,FULLSET,69,30,99,1,0.1
25_11_18_09_00_09_15,FULLSET,50,49,99,1,0.1
25_11_18_11_00_11_15,FULLSET,44,54,98,2,0.2
25_11_18_13_00_13_15,FULLSET,31,67,98,2,0.2
25_11_18_14_00_14_15,FULLSET,40,59,99,1,0.1
25_11_18_15_00_15_15,FULLSET,50,47,97,3,0.3
25_11_18_16_00_16_15,FULLSET,26,72,98,2,0.2
25_11_18_17_00_17_15,FULLSET,49,49,98,2,0.2
